ASSERTION	AAEEAgAAAAAAAMBiQA==
ASSERTION	AAECAAMCAAAAAAAAwFdA
ASSERTION	AAECAAIBAAAAAAAAABRA
RUN	parabank.TransferTest	transfertest	1760280492913	 	3.3.1
USER	Transferencias simultaneas válidas	114	START	1760280495344	1760280495344
USER	Transferencias simultaneas válidas	1	END	1760280494502	1760280495344
REQUEST	37		Transferencia	1760280494796	1760280495346	OK	 
USER	Transferencias simultaneas válidas	37	END	1760280494795	1760280495347
REQUEST	55		Transferencia	1760280494921	1760280495349	OK	 
USER	Transferencias simultaneas válidas	55	END	1760280494921	1760280495349
REQUEST	59		Transferencia	1760280494953	1760280495353	OK	 
USER	Transferencias simultaneas válidas	59	END	1760280494952	1760280495353
USER	Transferencias simultaneas válidas	115	START	1760280495359	1760280495359
USER	Transferencias simultaneas válidas	116	START	1760280495359	1760280495359
REQUEST	24		Transferencia	1760280494683	1760280495361	OK	 
USER	Transferencias simultaneas válidas	24	END	1760280494682	1760280495361
USER	Transferencias simultaneas válidas	118	START	1760280495362	1760280495362
USER	Transferencias simultaneas válidas	117	START	1760280495362	1760280495362
REQUEST	8		Transferencia	1760280494558	1760280495370	OK	 
USER	Transferencias simultaneas válidas	8	END	1760280494557	1760280495370
REQUEST	82		Transferencia	1760280495145	1760280495371	OK	 
USER	Transferencias simultaneas válidas	82	END	1760280495144	1760280495371
USER	Transferencias simultaneas válidas	121	START	1760280495375	1760280495375
USER	Transferencias simultaneas válidas	119	START	1760280495375	1760280495375
USER	Transferencias simultaneas válidas	120	START	1760280495375	1760280495375
REQUEST	63		Transferencia	1760280494973	1760280495377	OK	 
USER	Transferencias simultaneas válidas	63	END	1760280494972	1760280495377
REQUEST	75		Transferencia	1760280495094	1760280495378	OK	 
USER	Transferencias simultaneas válidas	75	END	1760280495093	1760280495378
REQUEST	50		Transferencia	1760280494863	1760280495380	OK	 
USER	Transferencias simultaneas válidas	50	END	1760280494862	1760280495380
REQUEST	72		Transferencia	1760280495062	1760280495380	OK	 
USER	Transferencias simultaneas válidas	72	END	1760280495061	1760280495381
REQUEST	40		Transferencia	1760280494811	1760280495386	OK	 
USER	Transferencias simultaneas válidas	40	END	1760280494811	1760280495386
