ASSERTION	AAEDAAECAQAAAAAAAHCnQA==
ASSERTION	AAEDAAEEAAAAAAAAwFdAAQAAAAAAAHCnQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
ASSERTION	AAEDAAEBAQAAAAAAAIizQA==
ASSERTION	AAECAAMCAAAAAAAAwFhA
RUN	parabank.AccountStatementsTest	accountstatementstest	1759981929683	 	3.3.1
USER	Account Statements Test - 200 Usuarios Simultáneos	47	END	1759981935131	1759981936718
USER	Account Statements Test - 200 Usuarios Simultáneos	68	START	1759981936756	1759981936756
REQUEST	61		Login Request	1759981936434	1759981936764	OK	 
REQUEST	41		Get Accounts Request	1759981936647	1759981936800	OK	 
USER	Account Statements Test - Carga Simultánea	63	START	1759981936829	1759981936829
REQUEST	48		Get Account Statement Request	1759981936724	1759981936856	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	48	END	1759981935272	1759981936857
REQUEST	30		Get Account Statement Request	1759981936727	1759981936870	OK	 
USER	Account Statements Test - Carga Simultánea	30	END	1759981934216	1759981936871
USER	Account Statements Test - 200 Usuarios Simultáneos	69	START	1759981936926	1759981936926
REQUEST	62		Login Request	1759981936632	1759981936935	OK	 
REQUEST	67		Login Request	1759981936601	1759981936946	OK	 
REQUEST	31		Get Account Statement Request	1759981936861	1759981936995	OK	 
USER	Account Statements Test - Carga Simultánea	31	END	1759981934417	1759981936996
REQUEST	42		Get Accounts Request	1759981936845	1759981937003	OK	 
REQUEST	57		Get Accounts Request	1759981936861	1759981937009	OK	 
REQUEST	58		Get Accounts Request	1759981936861	1759981937009	OK	 
USER	Account Statements Test - Carga Simultánea	64	START	1759981937031	1759981937031
USER	Account Statements Test - 200 Usuarios Simultáneos	70	START	1759981937106	1759981937106
REQUEST	50		Get Accounts Request	1759981936986	1759981937129	OK	 
REQUEST	68		Login Request	1759981936757	1759981937142	OK	 
REQUEST	49		Get Account Statement Request	1759981937016	1759981937169	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	49	END	1759981935425	1759981937170
REQUEST	59		Get Accounts Request	1759981937032	1759981937182	OK	 
REQUEST	63		Login Request	1759981936830	1759981937217	OK	 
REQUEST	69		Login Request	1759981936927	1759981937221	OK	 
REQUEST	55		Get Account Statement Request	1759981937077	1759981937223	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	55	END	1759981935566	1759981937224
USER	Account Statements Test - Carga Simultánea	65	START	1759981937229	1759981937229
USER	Account Statements Test - 200 Usuarios Simultáneos	71	START	1759981937260	1759981937260
REQUEST	38		Get Account Statement Request	1759981937123	1759981937266	OK	 
USER	Account Statements Test - Carga Simultánea	38	END	1759981934617	1759981937267
REQUEST	60		Get Accounts Request	1759981937169	1759981937322	OK	 
REQUEST	56		Get Account Statement Request	1759981937214	1759981937354	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	56	END	1759981935706	1759981937356
REQUEST	64		Login Request	1759981937032	1759981937380	OK	 
REQUEST	51		Get Accounts Request	1759981937245	1759981937396	OK	 
REQUEST	61		Get Accounts Request	1759981937277	1759981937418	OK	 
USER	Account Statements Test - Carga Simultánea	66	START	1759981937432	1759981937432
USER	Account Statements Test - 200 Usuarios Simultáneos	72	START	1759981937432	1759981937432
REQUEST	70		Login Request	1759981937107	1759981937493	OK	 
REQUEST	52		Get Accounts Request	1759981937385	1759981937531	OK	 
REQUEST	39		Get Account Statement Request	1759981937385	1759981937540	OK	 
USER	Account Statements Test - Carga Simultánea	39	END	1759981934819	1759981937541
REQUEST	65		Login Request	1759981937230	1759981937571	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	78	START	1759981937573	1759981937573
REQUEST	71		Login Request	1759981937261	1759981937602	OK	 
REQUEST	67		Get Accounts Request	1759981937464	1759981937605	OK	 
USER	Account Statements Test - Carga Simultánea	73	START	1759981937635	1759981937635
REQUEST	58		Get Account Statement Request	1759981937496	1759981937639	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	58	END	1759981936001	1759981937640
REQUEST	57		Get Account Statement Request	1759981937510	1759981937651	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	57	END	1759981935862	1759981937653
REQUEST	40		Get Account Statement Request	1759981937526	1759981937667	OK	 
USER	Account Statements Test - Carga Simultánea	40	END	1759981935021	1759981937668
USER	Account Statements Test - 200 Usuarios Simultáneos	79	START	1759981937716	1759981937716
REQUEST	53		Get Accounts Request	1759981937589	1759981937730	OK	 
REQUEST	66		Login Request	1759981937433	1759981937772	OK	 
REQUEST	72		Login Request	1759981937433	1759981937775	OK	 
REQUEST	68		Get Accounts Request	1759981937666	1759981937820	OK	 
REQUEST	59		Get Account Statement Request	1759981937682	1759981937834	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	59	END	1759981936139	1759981937835
USER	Account Statements Test - Carga Simultánea	74	START	1759981937835	1759981937835
REQUEST	54		Get Accounts Request	1759981937728	1759981937862	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	80	START	1759981937865	1759981937865
REQUEST	69		Get Accounts Request	1759981937744	1759981937872	OK	 
REQUEST	78		Login Request	1759981937574	1759981937918	OK	 
REQUEST	73		Login Request	1759981937636	1759981937932	OK	 
REQUEST	41		Get Account Statement Request	1759981937789	1759981937942	OK	 
USER	Account Statements Test - Carga Simultánea	41	END	1759981935224	1759981937944
REQUEST	60		Get Account Statement Request	1759981937820	1759981937974	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	60	END	1759981936277	1759981937976
USER	Account Statements Test - 200 Usuarios Simultáneos	81	START	1759981938006	1759981938006
REQUEST	79		Login Request	1759981937717	1759981938013	OK	 
USER	Account Statements Test - Carga Simultánea	75	START	1759981938026	1759981938026
